"Senior Laravel Developer, PHP Expert With GIT Experience",Full Time,PHP 47k-51k starting,"Hi there,
If you answer a big ""yes"" to these questions, then we want to hear from you:
- Do you have a sick obsession for doing things the ""right"" way?
- Are you great at spotting potential bugs and…"
Inventory Control and Data Specialist,Full Time,Negotiable,Looking for a qualified applicant to fill an Inventory Control and Data Specialist position. Must have experience in inventory and sales monitoring and analysis. Ideal candidates should have a basic understanding of inventory and sales management. Familiarity with point of…
VISUAL COMPOSER / PHOTOSHOP / VA - URGENT START - FULL TIME,Any,125-300 php per hour,"Are you an expert at Visual Composer or WP Bakery?  Have some great photoshop and perhaps even creative skills.  Do you have excellent English skills?  

We are a successful Australian agency focused on providing digital marketing services to small business…"
Property Office admin VA,Part Time,,"Office admin VA
Work 8 hrs daily Monday to Friday
Australian time
AUD $250/month
Do search online for property tenants prospects
Send messages out to prospects by skype
Personal admin work"
VIRTUAL BOOKKEEPER BAGUIO CITY BASED,Full Time,Negotiable,"A well-established company in Australia is looking for outsourced staff that can manage our social media, do bookkeeping, data entry and other administrative work on a full time and part time basis. The candidates will have an opportunity to grow…"
WordPress Developer Part time,Part Time,,"We are a friendly Australian WordPress business. We build and support many Australian WordPress websites.

*Please note: Interviews for this role will be starting in the next 3-4 days and we will hire someone to start in 1 week. Please…"
Telemarketer,Freelance,2.00/hr,"Must speak excellent English. Looking for someone to make phone calls from a provided list, using a basic script. Must be able to work during American business hours."
Graphic Designer,Freelance,$7.00/hr,"We need to have about 100 images touched up, laid out, with some copy added to images for Amazon products.
There could be fairly regular ongoing work as we have more than 500 of our own products listed on Amazon.…"
GRAPHIC DESIGNER WANTED! START TODAY!! APPLY NOW!!!,Full Time,$2-$4 per design,"GRAPHIC DESIGNER WANTED FULL TIME! WORK FROM HOME!! START TODAY!! APPLY NOW!!!

Hello, Thank you for your interest. I own a professional company that sells graphic designs online. Im looking to hire multiple (5-10) talented graphic designers full time to…"
Amazon Digital Marketer (types 65+ WPM) Private Label SEO,Any,$480 to $1000/month,"Here @RetailYouUP we believe in having an amazing thriving workspace. Through our productive work and awesome team culture, we are able to achieve this. We value long-term data-driven creative VAs who cherish teamwork and looking for a real career.

Candidates…"
Amazon PPC Sponsored Products Specialist (types 65+ WPM) AMS,Any,$480 to $1000/month,"Here @RetailYouUP we believe in having an amazing thriving workspace. Through our productive work and awesome team culture, we are able to achieve this. We value long-term data-driven creative VAs who cherish teamwork and looking for a real career.

Candidates…"
Amazon Graphic Design Specialist (types 65+ WPM) Minimalistic,Any,$480 to $1000/month,"Here @RetailYouUP we believe in having an amazing thriving workspace. Through our productive work and awesome team culture, we are able to achieve this. We value long-term data-driven creative VAs who cherish teamwork and looking for a real career.

Candidates…"
E-Commerce Recruiter with Human Resource skills (types 65+ WPM) Productivity+,Any,$480 to $1000/month,"Candidates MUST know the following: 
-Experienced in Slack, Asana, Google Drive (Excel), Calendar, LinkedIn
-Success in Recruiting (onlinejobs and linkedin +adapting to more)
-Communicate well and #real-time
-Integrating new apps/services and training team members on it.
-Truly organized and efficient…"
Looking for Awesome Ghostwriters with SEO Experience,Full Time,"PHP 9000/mnth, Negotiable","Are You An Awesome VA With Great English Writing Skills?

MUST HAVE BLOG WRITING EXPERIENCE

Replace Dani's name with yours and imagine I am describing you. (Both Male and Female VA's can apply)

Dani worked with me for many years…"
Financial Analyst,Full Time,USD3.25 per hour,"Work for a fast-growing organization in the US automotive manufacturing industry with more than $50M annual revenue. 

The organisation is looking for a Financial Analyst to:
• Provide administrative support to the different business units
• Financial analysis

Required skills:…"
