2GO,"2GO Group, Inc.",9.9 (1.43%),9.76,23.75 (139.90%),9.5,,
AAA,Asia Amalgamated Holdings Corp.,1.61 (0.00%),1.61,2.25 (39.75%),1.21,-35.698,
AB,"Atok-Big Wedge Company, Inc.",15 (-6.02%),15.96,43 (186.67%),12,"2,380.952",
ABA,"AbaCore Capital Holdings, Inc.",0.55 (12.24%),0.49,0.55 (0.00%),0.2,2.558,
ABG,"Asiabest Group International, Inc.",19.2 (-0.93%),19.38,46 (139.58%),16.5,"3,840.00",
ABS,ABS-CBN Corporation,19.5 (-2.01%),19.9,37.9 (94.36%),19.48,5.485,
ABSP,"ABS-CBN Holdings Corporation ""PDR""",19 (-0.52%),19.1,37.5 (97.37%),18.7,,
AC,Ayala Corporation,921 (-1.50%),935,1095 (18.89%),867.5,27.176,6.92 (0.75%)
ACE,Acesite (Phils.) Hotel Corp.,1.26 (0.00%),1.26,1.75 (38.89%),1.22,5.727,
ACPA,"Ayala Corporation Preferred Class ""A""",500 (0.00%),500,540 (8.00%),489,,
ACPB2,"Ayala Corp. Class ""B"" Series 2 Pref.",489 (-0.61%),492,540 (10.43%),450,,
ACR,"Alsons Consolidated Resources, Inc.",1.24 (0.81%),1.23,1.43 (15.32%),1.08,41.333,0.02 (1.61%)
AEV,"Aboitiz Equity Ventures, Inc.",49.5 (3.13%),48,79 (59.60%),44,15.546,
AGI,"Alliance Global Group, Inc.",10.74 (-1.29%),10.88,16.5 (53.63%),10.18,7.898,
ALCO,Arthaland Corporation,0.54 (1.89%),0.53,1.08 (100.00%),0.5,12.827,
ALCPB,"Arthaland Corp. Perpetual Pref ""B""",95.5 (0.00%),95.5,109 (14.14%),95.45,,1.76 (1.84%)
ALHI,"Anchor Land Holdings, Inc.",11 (0.00%),11,29.25 (165.91%),8.78,28.205,0.06 (0.55%)
ALI,"Ayala Land, Inc.",40 (-0.25%),40.1,47.5 (18.75%),36.05,33.333,0.24 (0.60%)
ANI,"AgriNurture, Inc.",17.58 (-0.34%),17.64,18.32 (4.21%),9.44,21.704,
ANS,A. Soriano Corporation,6.32 (0.32%),6.3,7.9 (25.00%),5.95,6.136,
AP,Aboitiz Power Corporation,32.6 (-0.46%),32.75,41.8 (28.22%),31.2,13.64,
APC,"APC Group, Inc.",0.35 (-2.78%),0.36,0.91 (160.00%),0.34,17.50,
APL,"Apollo Global Capital, Inc.",0.038 (0.00%),0.038,0.072 (89.47%),0.036,,
